book_id,title,author,author_last_first,additional_Authors,isbn,isbn13,my_rating,publisher,binding,number_of_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshelves_with_positions,read_status,my_review,spoiler,private_notes,read_count,owned_copies
36216475,"Nyxia (The Nyxia Triad, #1)",Scott Reintgen,"Reintgen, Scott",,"=""0718186885""","=""9780718186883""",3,Michael Joseph,Paperback,384,2017,2017,2017/11/27,2017/11/17,,,read,,,,1,0
29847082,Holding Up the Universe,Jennifer Niven,"Niven, Jennifer",,"=""0141357053""","=""9780141357058""",3,Penguin,Paperback,392,2016,2016,2017/11/17,2017/11/14,,,read,,,,1,0
24702258,The Tinderbox,Hans Christian Andersen,"Andersen, Hans Christian","Tiina Nunnally, Bagram Ibatoulline","=""0141398043""","=""9780141398044""",3,Penguin Classics,Paperback,55,2015,1835,2017/11/12,2017/11/12,,,read,,,,1,0
756970,The Dispossessed,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""1857988825""","=""9781857988826""",4,Gollancz,Paperback,319,2015,1974,2017/11/11,2015/04/08,sci-fi,sci-fi (#1),read,,,,1,1
32055872,"Godsgrave (The Nevernight Chronicle, #2)",Jay Kristoff,"Kristoff, Jay",,"=""0008180032""","=""9780008180034""",5,HarperVoyager,Hardcover,464,2017,2017,2017/10/30,2017/10/25,,,read,,,,1,0
22702248,The Girl Who Tweeted Wolf (Hobson & Choi #1),Nick Bryan,"Bryan, Nick",,"=""""","=""""",2,Nick Bryan,ebook,197,2014,2014,2017/10/19,2015/04/08,,,read,,,,1,0
27827627,Uprooted,Naomi Novik,"Novik, Naomi",,"=""1447294149""","=""9781447294146""",4,Pan Macmillan,Paperback,435,2016,2015,2017/10/15,2017/10/12,,,read,,,,1,0
35383830,Moxie,Jennifer Mathieu,"Mathieu, Jennifer",,"=""1444940635""","=""9781444940633""",5,Hodder Children's Books (Hachette Children's Group),Paperback,340,2017,2017,2017/10/16,2017/10/16,,,read,,,,1,0
34890640,"Botanical Line Drawing: 200 Step-By-Step Flowers, Leaves, Cacti, Succulents, and Other Items Found in Nature",Peggy  Dean,"Dean, Peggy",,"=""0998558524""","=""9780998558523""",4,Pigeon Letters,Paperback,218,2017,2017,,2017/10/06,,,read,,,,1,0
82749,Falling Leaves: The True Story of an Unwanted Chinese Daughter,Adeline Yen Mah,"Mah, Adeline Yen",,"=""""","=""""",3,Penguin,Paperback,278,1997,1997,2017/10/06,2015/05/28,,,read,,,,1,0
32453238,Tales from the Shadowhunter Academy,Cassandra Clare,"Clare, Cassandra",,"=""1406373583""","=""9781406373585""",4,Walker Books,Paperback,651,2017,2016,2017/09/30,2017/09/27,,,read,,,,1,0
24874329,As Kingfishers Catch Fire,Gerard Manley Hopkins,"Hopkins, Gerard Manley",,"=""0141397845""","=""9780141397849""",2,Penguin Classics,Paperback,53,2015,1876,2017/09/26,2017/09/06,,,read,,,,1,0
7161153,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0571258093""","=""9780571258093""",4,Faber and Faber,Paperback,282,2021,2005,2017/09/26,2015/05/28,,,read,,,,1,0
34443972,"Wonder Woman: Warbringer (DC Icons, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""0141387378""","=""9780141387376""",4,Penguin,Paperback,369,2017,2017,2017/09/21,2017/09/13,,,read,,,,1,0
26030895,Civil War: Captain America / Iron Man,Ed Brubaker,"Brubaker, Ed","Christos Gage, Daniel Knauf, Charles Knauf, Brian Michael Bendis","=""0785195637""","=""9780785195634""",4,Marvel Enterprises,Paperback,224,2016,2016,2017/09/12,2017/09/12,,,read,,,,1,0
25458747,Truth or Dare,Non Pratt,"Pratt, Non",,"=""1406366935""","=""9781406366938""",5,Walker Books,Paperback,383,2017,2017,2017/09/09,2017/09/08,,,read,,,,1,0
30542863,The Diabolic (The Diabolic #1),S.J. Kincaid,"Kincaid, S.J.",,"=""1471147142""","=""9781471147142""",5,Simon & Schuster Children's UK,Hardcover,403,2016,2016,2017/09/07,2017/09/06,,,read,,,,1,0
32334098,"The Princess Saves Herself in this One (Women are Some Kind of Magic, #1)",Amanda Lovelace,"Lovelace, Amanda",ladybookmad,"=""144948641X""","=""9781449486419""",4,Andrews McMeel Publishing,Paperback,200,2017,2016,2017/09/04,2017/08/25,,,read,,,,1,0
29229799,The Rest of Us Just Live Here,Patrick Ness,"Ness, Patrick",,"=""1406365564""","=""9781406365566""",3,Walker Books,Paperback,345,2016,2015,2017/09/01,2016/05/22,,,read,,,,1,0
31458203,Heartless,Marissa Meyer,"Meyer, Marissa",,"=""1509814132""","=""9781509814138""",3,Macmillan Children's Books,Paperback,450,2017,2016,2017/08/27,2017/08/25,,,read,,,,1,0
12356699,A Brief History of Time: From the Big Bang to Black Holes,Stephen W. Hawking,"Hawking, Stephen W.",,"=""0857501003""","=""9780857501004""",5,Bantam Books,Paperback,241,2011,1988,2017/08/24,2017/08/10,,,read,,,,1,0
